Full_ID,Gene,ENSG_ID
TNMD_ENSG00000000005,TNMD,ENSG00000000005
DPM1_ENSG00000000419,DPM1,ENSG00000000419
SCYL3_ENSG00000000457,SCYL3,ENSG00000000457
C1orf112_ENSG00000000460,C1orf112,ENSG00000000460
FGR_ENSG00000000938,FGR,ENSG00000000938
CFH_ENSG00000000971,CFH,ENSG00000000971
FUCA2_ENSG00000001036,FUCA2,ENSG00000001036
GCLC_ENSG00000001084,GCLC,ENSG00000001084
NFYA_ENSG00000001167,NFYA,ENSG00000001167
STPG1_ENSG00000001460,STPG1,ENSG00000001460
NIPAL3_ENSG00000001461,NIPAL3,ENSG00000001461
LAS1L_ENSG00000001497,LAS1L,ENSG00000001497
ENPP4_ENSG00000001561,ENPP4,ENSG00000001561
SEMA3F_ENSG00000001617,SEMA3F,ENSG00000001617
CFTR_ENSG00000001626,CFTR,ENSG00000001626
ANKIB1_ENSG00000001629,ANKIB1,ENSG00000001629
CYP51A1_ENSG00000001630,CYP51A1,ENSG00000001630
KRIT1_ENSG00000001631,KRIT1,ENSG00000001631
RAD52_ENSG00000002016,RAD52,ENSG00000002016
BAD_ENSG00000002330,BAD,ENSG00000002330
LAP3_ENSG00000002549,LAP3,ENSG00000002549
CD99_ENSG00000002586,CD99,ENSG00000002586
HS3ST1_ENSG00000002587,HS3ST1,ENSG00000002587
AOC1_ENSG00000002726,AOC1,ENSG00000002726
WNT16_ENSG00000002745,WNT16,ENSG00000002745
HECW1_ENSG00000002746,HECW1,ENSG00000002746
MAD1L1_ENSG00000002822,MAD1L1,ENSG00000002822
LASP1_ENSG00000002834,LASP1,ENSG00000002834
SNX11_ENSG00000002919,SNX11,ENSG00000002919
TMEM176A_ENSG00000002933,TMEM176A,ENSG00000002933
M6PR_ENSG00000003056,M6PR,ENSG00000003056
KLHL13_ENSG00000003096,KLHL13,ENSG00000003096
CYP26B1_ENSG00000003137,CYP26B1,ENSG00000003137
ICA1_ENSG00000003147,ICA1,ENSG00000003147
DBNDD1_ENSG00000003249,DBNDD1,ENSG00000003249
ALS2_ENSG00000003393,ALS2,ENSG00000003393
CASP10_ENSG00000003400,CASP10,ENSG00000003400
CFLAR_ENSG00000003402,CFLAR,ENSG00000003402
TFPI_ENSG00000003436,TFPI,ENSG00000003436
NDUFAF7_ENSG00000003509,NDUFAF7,ENSG00000003509
RBM5_ENSG00000003756,RBM5,ENSG00000003756
MTMR7_ENSG00000003987,MTMR7,ENSG00000003987
SLC7A2_ENSG00000003989,SLC7A2,ENSG00000003989
ARF5_ENSG00000004059,ARF5,ENSG00000004059
SARM1_ENSG00000004139,SARM1,ENSG00000004139
POLDIP2_ENSG00000004142,POLDIP2,ENSG00000004142
PLXND1_ENSG00000004399,PLXND1,ENSG00000004399
AK2_ENSG00000004455,AK2,ENSG00000004455
CD38_ENSG00000004468,CD38,ENSG00000004468
FKBP4_ENSG00000004478,FKBP4,ENSG00000004478
KDM1A_ENSG00000004487,KDM1A,ENSG00000004487
RBM6_ENSG00000004534,RBM6,ENSG00000004534
CAMKK1_ENSG00000004660,CAMKK1,ENSG00000004660
RECQL_ENSG00000004700,RECQL,ENSG00000004700
VPS50_ENSG00000004766,VPS50,ENSG00000004766
HSPB6_ENSG00000004776,HSPB6,ENSG00000004776
ARHGAP33_ENSG00000004777,ARHGAP33,ENSG00000004777
NDUFAB1_ENSG00000004779,NDUFAB1,ENSG00000004779
PDK4_ENSG00000004799,PDK4,ENSG00000004799
SLC22A16_ENSG00000004809,SLC22A16,ENSG00000004809
ZMYND10_ENSG00000004838,ZMYND10,ENSG00000004838
ABCB5_ENSG00000004846,ABCB5,ENSG00000004846
ARX_ENSG00000004848,ARX,ENSG00000004848
SLC25A13_ENSG00000004864,SLC25A13,ENSG00000004864
ST7_ENSG00000004866,ST7,ENSG00000004866
CDC27_ENSG00000004897,CDC27,ENSG00000004897
SLC4A1_ENSG00000004939,SLC4A1,ENSG00000004939
CALCR_ENSG00000004948,CALCR,ENSG00000004948
HCCS_ENSG00000004961,HCCS,ENSG00000004961
DVL2_ENSG00000004975,DVL2,ENSG00000004975
PRSS22_ENSG00000005001,PRSS22,ENSG00000005001
UPF1_ENSG00000005007,UPF1,ENSG00000005007
SKAP2_ENSG00000005020,SKAP2,ENSG00000005020
SLC25A5_ENSG00000005022,SLC25A5,ENSG00000005022
CCDC109B_ENSG00000005059,CCDC109B,ENSG00000005059
HOXA11_ENSG00000005073,HOXA11,ENSG00000005073
POLR2J_ENSG00000005075,POLR2J,ENSG00000005075
DHX33_ENSG00000005100,DHX33,ENSG00000005100
MEOX1_ENSG00000005102,MEOX1,ENSG00000005102
THSD7A_ENSG00000005108,THSD7A,ENSG00000005108
LIG3_ENSG00000005156,LIG3,ENSG00000005156
RPAP3_ENSG00000005175,RPAP3,ENSG00000005175
ACSM3_ENSG00000005187,ACSM3,ENSG00000005187
AC004381.6_ENSG00000005189,AC004381.6,ENSG00000005189
CIAPIN1_ENSG00000005194,CIAPIN1,ENSG00000005194
SPPL2B_ENSG00000005206,SPPL2B,ENSG00000005206
FAM214B_ENSG00000005238,FAM214B,ENSG00000005238
COPZ2_ENSG00000005243,COPZ2,ENSG00000005243
PRKAR2B_ENSG00000005249,PRKAR2B,ENSG00000005249
MSL3_ENSG00000005302,MSL3,ENSG00000005302
CREBBP_ENSG00000005339,CREBBP,ENSG00000005339
BZRAP1_ENSG00000005379,BZRAP1,ENSG00000005379
MPO_ENSG00000005381,MPO,ENSG00000005381
PON1_ENSG00000005421,PON1,ENSG00000005421
GCFC2_ENSG00000005436,GCFC2,ENSG00000005436
WDR54_ENSG00000005448,WDR54,ENSG00000005448
CROT_ENSG00000005469,CROT,ENSG00000005469
ABCB4_ENSG00000005471,ABCB4,ENSG00000005471
KMT2E_ENSG00000005483,KMT2E,ENSG00000005483
RHBDD2_ENSG00000005486,RHBDD2,ENSG00000005486
SOX8_ENSG00000005513,SOX8,ENSG00000005513
IBTK_ENSG00000005700,IBTK,ENSG00000005700
ZNF195_ENSG00000005801,ZNF195,ENSG00000005801
MYCBP2_ENSG00000005810,MYCBP2,ENSG00000005810
FBXL3_ENSG00000005812,FBXL3,ENSG00000005812
ITGAL_ENSG00000005844,ITGAL,ENSG00000005844
PDK2_ENSG00000005882,PDK2,ENSG00000005882
ITGA3_ENSG00000005884,ITGA3,ENSG00000005884
ZFX_ENSG00000005889,ZFX,ENSG00000005889
LAMP2_ENSG00000005893,LAMP2,ENSG00000005893
ITGA2B_ENSG00000005961,ITGA2B,ENSG00000005961
ASB4_ENSG00000005981,ASB4,ENSG00000005981
GDE1_ENSG00000006007,GDE1,ENSG00000006007
C19orf60_ENSG00000006015,C19orf60,ENSG00000006015
CRLF1_ENSG00000006016,CRLF1,ENSG00000006016
OSBPL7_ENSG00000006025,OSBPL7,ENSG00000006025
TMEM98_ENSG00000006042,TMEM98,ENSG00000006042
YBX2_ENSG00000006047,YBX2,ENSG00000006047
KRT33A_ENSG00000006059,KRT33A,ENSG00000006059
MAP3K14_ENSG00000006062,MAP3K14,ENSG00000006062
ABCC8_ENSG00000006071,ABCC8,ENSG00000006071
CACNG3_ENSG00000006116,CACNG3,ENSG00000006116
TMEM132A_ENSG00000006118,TMEM132A,ENSG00000006118
AP2B1_ENSG00000006125,AP2B1,ENSG00000006125
TAC1_ENSG00000006128,TAC1,ENSG00000006128
ZNF263_ENSG00000006194,ZNF263,ENSG00000006194
CX3CL1_ENSG00000006210,CX3CL1,ENSG00000006210
SPATA20_ENSG00000006282,SPATA20,ENSG00000006282
CACNA1G_ENSG00000006283,CACNA1G,ENSG00000006283
TNFRSF12A_ENSG00000006327,TNFRSF12A,ENSG00000006327
DLX6_ENSG00000006377,DLX6,ENSG00000006377
MAP3K9_ENSG00000006432,MAP3K9,ENSG00000006432
RALA_ENSG00000006451,RALA,ENSG00000006451
BAIAP2L1_ENSG00000006453,BAIAP2L1,ENSG00000006453
KDM7A_ENSG00000006459,KDM7A,ENSG00000006459
ETV1_ENSG00000006468,ETV1,ENSG00000006468
AGK_ENSG00000006530,AGK,ENSG00000006530
ALDH3B1_ENSG00000006534,ALDH3B1,ENSG00000006534
TTC22_ENSG00000006555,TTC22,ENSG00000006555
PHTF2_ENSG00000006576,PHTF2,ENSG00000006576
CCL26_ENSG00000006606,CCL26,ENSG00000006606
FARP2_ENSG00000006607,FARP2,ENSG00000006607
USH1C_ENSG00000006611,USH1C,ENSG00000006611
GGCT_ENSG00000006625,GGCT,ENSG00000006625
DBF4_ENSG00000006634,DBF4,ENSG00000006634
TBXA2R_ENSG00000006638,TBXA2R,ENSG00000006638
